Year,Smoke Estimate
1963,98.35172967082451
1964,91.65992545173208
1965,89.82975339661844
1966,94.58146854426536
1967,88.88597348756562
1968,85.46349148720527
1969,89.97972079626116
1970,82.73620535656012
1971,93.90969345289037
1972,90.97427124516012
1973,89.55942733228537
1974,91.42460368307856
1975,83.92852548183899
1976,86.16121140200094
1977,83.01023259653785
1978,85.85607752197234
1979,87.76218861084668
1980,88.65148198620697
1981,88.31820902536518
1982,82.91612871167979
1983,85.26124682302374
1984,83.57832479754566
1985,87.78282250523687
1986,84.80305872838849
1987,89.51493192691346
1988,86.9866071171761
1989,90.76638149611904
1990,84.85891525425072
1991,84.82362637069484
1992,86.84005106671574
1993,93.5187603625192
1994,94.28605472139738
1995,83.50407246606746
1996,91.66531827294097
1997,90.28723757751983
1998,89.13094747886423
1999,89.7446397651006
2000,95.1643689162461
2001,94.04759890679091
2002,89.42205955939924
2003,86.66950829044572
2004,84.35399643476441
2005,87.15337821527642
2006,86.99831962110977
2007,83.69077345393946
2008,84.318489370026
2009,82.22883466079341
2010,82.71062657875439
2011,76.66323483637812
2012,85.54296859741146
2013,83.2799465949378
2014,79.42967845230176
2015,82.39873100418936
2016,83.22241874525733
2017,82.75858619571328
2018,82.45869433974931
2019,86.67367632811653
2020,91.60927874329192
